datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
2022-01-01,63.25,28.5,23.8,76.8,0.451,22.3,0.47219998
2022-01-02,63.25,28.2,23.8,78.7,0.0,24.1,0.31969999
2022-01-03,63.25,28.6,22.6,72.6,0.0,18.5,0.1672
2022-01-04,63.25,28.1,23.2,75.8,0.0,14.8,0.39299998
2022-01-05,63.25,28.3,23.8,78.4,24.792,17.9,0.2784
2022-01-06,63.25,27.3,24.9,88.0,9.308,16.6,0.2618
2022-01-07,63.25,27.6,23.6,81.0,0.915,29.1,0.2452
2022-01-08,63.25,28.2,24.1,80.0,0.072,22.3,0.27192
2022-01-09,63.25,28.6,24.1,77.6,0.0,16.6,0.29864
2022-01-10,63.25,27.9,24.6,83.1,10.657,18.4,0.32536
2022-01-11,63.25,26.3,24.4,90.6,56.46,16.8,0.35208
2022-01-12,63.25,26.3,24.2,89.2,15.799,18.5,0.3788
2022-01-13,59.41666666666666,27.1,24.2,85.3,5.332,24.1,0.34576
2022-01-14,61.16666666666666,26.9,24.5,87.5,15.945,18.4,0.31272
2022-01-15,69.16666666666667,26.9,24.3,86.6,4.084,16.6,0.27968000000000004
2022-01-16,81.38333333333333,27.0,25.2,90.4,8.99,11.0,0.24664000000000003
2022-01-17,93.6,27.9,24.7,83.8,13.371,18.4,0.2136
2022-01-18,65.86666666666666,26.0,24.6,92.5,120.516,18.4,0.18185
2022-01-19,52.4375,27.1,24.0,84.5,60.05,27.7,0.1501
2022-01-20,56.10526315789474,25.8,23.3,86.5,3.272,17.8,0.11835000000000001
2022-01-21,49.23076923076923,27.1,23.7,82.6,0.957,14.8,0.0866
2022-01-22,70.84615384615384,27.1,24.1,84.4,14.151,16.6,0.1011
2022-01-23,66.6875,29.0,23.8,75.3,0.0,16.6,0.1156
2022-01-24,69.33333333333333,28.9,23.3,73.5,0.0,27.8,0.2052
2022-01-25,57.71428571428572,28.5,24.1,77.5,3.308,27.6,0.387
2022-01-26,54.333333333333336,27.1,24.7,87.0,1.489,13.0,0.641
2022-01-27,73.75,28.2,23.8,79.0,0.163,18.4,0.895
2022-01-28,71.70588235294117,27.2,23.7,82.7,4.444,14.8,0.5756
2022-01-29,116.10526315789474,27.8,23.9,80.4,0.0,14.8,0.2562
2022-01-30,126.36842105263158,27.9,24.0,80.0,0.068,13.0,0.2545
2022-01-31,126.35714285714286,28.5,23.7,76.0,0.0,16.6,0.2528
2022-02-01,88.25,28.0,24.3,81.4,0.082,21.8,0.25412903225806455
2022-02-02,100.55555555555556,27.6,24.0,81.7,8.624,22.3,0.25545806451612907
2022-02-03,93.9,28.7,24.2,78.2,1.692,14.8,0.2567870967741936
2022-02-04,65.5,26.7,24.1,86.7,69.661,18.2,0.25811612903225806
2022-02-05,60.095238095238095,26.3,24.2,88.8,43.553,20.5,0.2594451612903226
2022-02-06,24.31578947368421,27.4,24.0,82.5,1.666,23.6,0.2607741935483871
2022-02-07,58.31578947368421,27.6,24.3,83.7,12.338,18.3,0.2621032258064516
2022-02-08,105.05,26.2,24.9,92.7,44.592,11.1,0.26343225806451614
2022-02-09,102.9047619047619,27.4,23.9,82.3,5.609,37.1,0.26476129032258067
2022-02-10,37.38095238095238,26.9,23.2,81.0,0.155,22.3,0.2660903225806452
2022-02-11,62.05,27.3,23.9,82.4,0.224,18.4,0.2674193548387097
2022-02-12,67.78947368421052,27.7,24.6,83.6,0.0,12.9,0.2687483870967742
2022-02-13,96.85714285714286,26.9,24.3,86.2,0.135,16.6,0.2700774193548387
2022-02-14,111.55555555555556,26.3,23.6,86.1,17.056,18.3,0.2714064516129032
2022-02-15,109.3529411764706,27.3,23.7,82.7,4.789,16.3,0.27273548387096774
2022-02-16,110.5,28.0,24.0,80.5,31.224,33.5,0.27406451612903227
2022-02-17,79.71428571428571,27.2,24.0,83.9,0.658,14.7,0.2753935483870968
2022-02-18,80.26190476190476,27.0,24.4,86.1,3.689,17.8,0.2767225806451613
2022-02-19,80.80952380952381,27.0,24.4,86.0,1.35,18.4,0.27805161290322583
2022-02-20,81.35714285714286,27.3,24.7,86.2,1.888,14.8,0.2793806451612903
2022-02-21,81.9047619047619,28.1,23.4,76.8,0.633,18.3,0.2807096774193548
2022-02-22,82.45238095238095,28.6,23.5,75.5,3.122,18.4,0.28203870967741934
2022-02-23,83.0,28.1,23.0,75.3,11.026,29.5,0.28336774193548386
2022-02-24,57.64705882352941,27.8,21.8,72.6,4.164,33.3,0.2846967741935484
2022-02-25,59.72727272727273,26.8,22.7,79.3,3.796,30.9,0.2860258064516129
2022-02-26,56.4,26.4,23.3,83.9,1.777,31.6,0.28735483870967743
2022-02-27,55.92857142857143,27.0,23.7,82.6,3.639,27.7,0.28868387096774195
2022-02-28,40.90476190476191,27.3,23.9,82.4,3.905,20.5,0.2900129032258064
2022-03-01,39.9,25.7,23.8,89.8,15.819,24.1,0.29134193548387094
2022-03-02,39.1578947368421,27.4,24.0,82.7,9.79,26.9,0.29267096774193546
2022-03-03,52.55,28.3,23.6,77.2,0.37,27.7,0.294
2022-03-04,55.523809523809526,28.1,23.8,79.2,3.535,16.6,0.2473
2022-03-05,64.94736842105263,27.1,23.8,82.8,14.338,22.5,0.2006
2022-03-06,70.57142857142857,27.4,23.6,80.8,1.512,27.8,0.21
2022-03-07,52.55555555555556,28.5,22.8,72.7,0.064,24.1,0.2194
2022-03-08,94.1,27.7,24.1,82.4,1.708,20.5,0.2288
2022-03-09,78.89473684210526,27.3,24.5,85.3,0.0,22.2,0.14899999
2022-03-10,107.73684210526316,27.8,24.3,82.2,2.422,24.0,0.22429999499999997
2022-03-11,109.75,27.8,24.6,83.7,9.101,22.4,0.2996
2022-03-12,66.3157894736842,26.9,24.9,89.5,22.535,18.1,0.0274
2022-03-13,59.61904761904762,27.6,24.8,85.8,4.154,14.8,0.0538
2022-03-14,104.0,28.6,24.8,81.6,10.276,16.6,0.0802
2022-03-15,90.6842105263158,26.4,24.7,90.4,5.201,18.4,0.0823
2022-03-16,80.75,28.3,23.9,79.4,0.327,21.6,0.0844
2022-03-17,134.28571428571428,28.4,25.3,84.4,3.073,18.4,0.6398
2022-03-18,115.47619047619048,27.9,24.8,84.3,0.0,25.9,0.3441
2022-03-19,47.10526315789474,28.9,24.2,76.6,0.0,27.8,0.0484
2022-03-20,62.45,29.1,23.1,71.8,0.0,35.2,0.0426
2022-03-21,51.76190476190476,28.7,23.3,73.6,0.0,27.7,0.11446666666666666
2022-03-22,46.52941176470589,28.5,24.1,77.6,1.121,18.4,0.18633333333333332
2022-03-23,58.45,27.5,24.2,82.5,2.375,22.5,0.2582
2022-03-24,57.8,28.6,23.7,76.8,2.856,18.4,0.1762
2022-03-25,14.652173913043478,29.0,24.9,79.9,0.634,18.4,0.17113333333333333
2022-03-26,63.64705882352941,26.2,24.7,91.7,22.019,11.1,0.16606666666666667
2022-03-27,31.823529411764707,27.1,24.5,86.8,14.348,29.5,0.161
2022-03-28,0.0,27.9,24.1,81.7,14.835,14.8,0.2654
2022-03-29,108.0,28.9,24.4,77.9,0.0,14.3,0.782
2022-03-30,102.23809523809524,29.0,23.9,75.3,0.0,14.2,0.56219999
2022-03-31,158.0,27.9,24.2,81.2,0.386,26.6,0.34239998
2022-04-01,119.0,28.2,24.2,79.4,2.296,13.0,0.21169999
2022-04-02,98.2,27.9,24.5,83.3,10.205,18.3,0.081
2022-04-03,71.9375,26.9,24.1,85.5,18.449,29.5,0.3638
2022-04-04,70.4090909090909,28.2,23.7,78.5,0.005,18.4,0.3516
2022-04-05,86.23809523809524,27.4,24.0,83.7,39.825,22.3,0.4048
2022-04-06,89.8695652173913,28.5,23.5,76.1,1.304,29.5,0.0594
2022-04-07,93.8181818181818,28.6,24.1,77.8,0.185,24.1,0.106199995
2022-04-08,80.89473684210526,28.0,23.5,77.4,37.389,29.5,0.3954
2022-04-09,79.95,28.3,23.6,77.2,1.64,14.8,0.1882
2022-04-10,155.35,28.2,24.2,79.7,0.242,18.4,0.40559998
2022-04-11,100.52380952380952,28.4,24.2,79.1,18.045,18.4,0.4964
2022-04-12,104.04761904761904,28.0,24.6,83.0,5.417,24.1,0.9446
2022-04-13,116.0,28.7,24.6,79.4,0.552,14.8,0.3376
2022-04-14,107.23809523809524,28.9,24.1,76.2,0.614,20.5,0.0742
2022-04-15,98.3,29.3,24.6,76.9,3.924,20.5,0.5638
2022-04-16,119.7,29.1,24.1,75.9,1.314,16.6,0.60859996
2022-04-17,145.26315789473685,29.2,25.0,78.8,1.129,20.5,1.0346
2022-04-18,137.73684210526315,29.3,25.3,79.9,17.015,20.5,0.3852
2022-04-19,75.36842105263158,28.3,24.6,81.2,4.592,22.3,0.417
2022-04-20,100.89473684210526,28.3,24.5,80.6,2.546,27.7,0.8588
2022-04-21,23.15,26.7,24.5,87.9,10.083,16.6,0.7503
2022-04-22,122.9,26.2,24.3,89.8,10.115,16.6,0.6418
2022-04-23,111.4,28.2,24.7,82.6,0.751,16.6,0.1136
2022-04-24,113.7,28.5,24.6,80.6,4.804,15.1,0.21029999
2022-04-25,109.85714285714286,28.4,24.5,81.2,18.654,25.9,0.30699998
2022-04-26,89.5,28.4,24.5,80.8,2.252,22.3,0.93759996
2022-04-27,84.47619047619048,28.1,24.5,81.8,9.361,31.7,0.8460332983333333
2022-04-28,69.57142857142857,27.2,24.3,84.6,3.568,22.3,0.7544666366666667
2022-04-29,58.38095238095238,28.6,24.7,80.6,0.0,22.3,0.662899975
2022-04-30,9.9,27.8,25.2,86.3,0.457,16.6,0.5713333133333334
2022-05-01,123.0,27.6,25.2,87.2,2.324,11.2,0.47976665166666665
2022-05-02,92.55,27.5,24.9,86.4,31.263,19.3,0.38819999
2022-05-03,62.888888888888886,27.9,24.9,85.0,4.877,20.5,0.1894
2022-05-04,79.05263157894737,28.3,25.0,83.2,0.398,25.9,1.176
2022-05-05,98.5,28.6,25.1,82.5,0.011,27.7,0.4468
2022-05-06,77.0,29.3,25.4,80.6,0.0,24.1,0.4048
2022-05-07,93.61904761904762,29.1,24.9,79.2,0.187,16.6,0.64199996
2022-05-08,98.44444444444444,29.7,25.1,77.3,0.0,20.5,0.147
2022-05-09,75.05,28.6,25.1,82.2,0.341,22.3,0.34629999999999994
2022-05-10,88.05,29.6,25.4,78.9,0.022,18.4,0.5456
2022-05-11,69.0,28.0,25.4,86.6,18.84,46.4,0.476
2022-05-12,12.6,28.5,25.5,84.4,8.808,20.5,0.4064
2022-05-13,46.63636363636363,28.9,25.3,81.7,7.035,16.6,0.2834
2022-05-14,88.77272727272727,29.0,25.1,80.0,0.159,14.8,0.6716
2022-05-15,125.30434782608695,28.5,25.8,85.6,8.137,18.4,0.655
2022-05-16,104.22727272727272,28.1,24.9,84.0,0.939,13.0,0.556
2022-05-17,117.6,28.8,25.5,83.3,0.767,15.8,0.79039997
2022-05-18,104.35,28.3,25.2,83.9,24.471,18.4,0.0602
2022-05-19,120.25,27.4,25.1,87.9,10.797,18.4,0.33469999999999994
2022-05-20,94.4375,27.2,24.8,87.4,15.127,14.8,0.6092
2022-05-21,87.6875,27.3,24.7,86.2,1.086,20.5,0.49026665999999997
2022-05-22,77.0,27.4,24.8,86.0,0.0,22.3,0.37133331999999997
2022-05-23,81.95238095238095,28.5,24.9,81.9,0.0,27.7,0.25239998
2022-05-24,100.28571428571428,29.5,25.0,77.6,0.0,27.7,0.113199994
2022-05-25,122.89473684210526,27.6,25.0,86.0,4.014,24.1,0.4288
2022-05-26,96.61904761904762,27.0,24.3,85.4,0.637,14.8,0.37749999
2022-05-27,141.0,28.2,23.9,78.6,1.116,16.9,0.32619998
2022-05-28,0.0,25.8,23.7,88.5,21.44,22.3,0.24099999
2022-05-29,45.2,26.8,23.9,84.7,22.014,19.6,0.1558
2022-05-30,84.19047619047619,26.5,24.7,90.2,0.153,33.5,1.0114
2022-05-31,101.63157894736842,27.0,24.4,86.5,4.184,24.1,0.3128
2022-06-01,71.3,28.0,24.2,80.6,3.8,24.1,0.62299997
2022-06-02,98.33333333333331,27.5,24.7,85.6,21.459,20.5,0.2856
2022-06-03,50.42105263157895,27.9,24.3,82.2,2.045,18.4,0.31739998
2022-06-04,132.3684210526316,28.5,24.5,80.1,0.416,16.6,0.2692
2022-06-05,109.45,27.9,24.0,80.3,1.24,16.1,0.48499998
2022-06-06,112.1,26.9,24.0,85.2,6.057,18.4,0.37359999
2022-06-07,83.15789473684211,27.6,24.7,85.0,2.124,29.5,0.2622
2022-06-08,76.4,27.3,24.9,87.2,10.925,16.6,0.20359999
2022-06-09,97.8,26.2,24.5,90.5,7.866,22.3,0.48459998
2022-06-10,82.47368421052632,27.7,24.0,81.6,0.597,18.4,0.3426
2022-06-11,90.95,28.0,25.3,85.8,4.285,25.9,0.7058
2022-06-12,113.05,27.4,24.6,85.1,1.29,16.6,0.75839996
2022-06-13,63.47619047619048,27.3,24.1,83.6,0.229,14.8,1.1286
2022-06-14,108.94736842105264,27.5,24.1,82.5,0.062,25.9,0.3364
2022-06-15,115.96491228070177,26.5,24.6,89.3,6.375,18.4,0.19799999999999998
2022-06-16,122.98245614035088,26.6,24.5,88.7,0.0,20.5,0.0596
2022-06-17,130.0,26.4,24.5,89.7,0.212,20.5,0.19113333333333332
2022-06-18,130.37777777777777,26.6,23.8,85.2,0.053,11.2,0.32266666666666666
2022-06-19,130.75555555555556,27.8,24.2,81.7,0.026,24.1,0.4542
2022-06-20,131.13333333333333,27.9,24.3,81.6,3.954,13.0,0.5446
2022-06-21,120.45454545454544,28.1,24.1,79.9,0.0,25.9,0.4716
2022-06-22,120.26666666666668,27.8,25.0,85.3,13.345,24.1,0.5918
2022-06-23,94.05263157894736,28.2,23.8,78.5,0.037,22.3,0.4434
2022-06-24,123.57894736842104,27.4,24.3,83.6,0.17,22.3,2.7106
2022-06-25,127.57894736842104,27.4,24.0,82.9,6.854,18.4,1.6319
2022-06-26,109.55555555555556,27.1,24.5,86.0,1.31,14.8,0.5532
2022-06-27,99.16666666666669,27.9,24.5,82.8,14.183,14.8,0.2312
2022-06-28,84.47619047619048,28.0,24.5,82.0,0.418,13.9,0.29119998
2022-06-29,0.0,27.9,23.8,79.2,0.0,20.8,0.3874
2022-06-30,32.5,27.8,22.3,73.0,0.0,16.6,0.4506
2022-07-01,112.8,28.3,23.0,74.2,0.0,22.3,0.3994
2022-07-02,137.06666666666666,28.6,24.0,76.6,0.258,18.4,0.5232
2022-07-03,124.14285714285714,28.4,25.5,85.0,18.371,24.1,0.4506
2022-07-04,75.73913043478261,29.2,25.2,80.0,1.315,33.5,0.378
2022-07-05,60.31578947368421,29.3,25.2,79.9,0.231,20.5,0.2488
2022-07-06,132.94444444444446,26.7,24.9,90.1,27.569,13.0,0.5092
2022-07-07,97.89473684210526,28.3,25.1,83.9,0.37,13.0,0.3872
2022-07-08,95.23308270676691,28.8,24.1,77.0,0.0,18.4,0.1648
2022-07-09,92.57142857142856,28.1,22.4,72.5,0.0,17.4,0.19999999
2022-07-10,95.15,28.0,22.1,70.9,0.0,25.9,0.2214
2022-07-11,108.2,28.2,23.1,75.0,0.0,18.4,0.0264
2022-07-12,117.65,28.7,24.8,80.3,0.891,27.7,0.6088
2022-07-13,116.27777777777776,26.7,24.5,88.2,6.224,20.5,0.4034
2022-07-14,125.95238095238096,28.0,24.6,82.6,0.09,25.9,0.198
2022-07-15,91.1904761904762,27.9,24.5,82.6,14.79,25.9,0.3222
2022-07-16,38.07142857142857,25.5,23.0,86.8,37.492,22.3,0.3389333333333333
2022-07-17,0.0,27.3,24.5,85.2,0.0,22.3,0.3556666666666667
2022-07-18,86.5,28.0,24.6,82.7,0.01,14.8,0.3724
2022-07-19,116.38095238095238,28.6,24.9,81.2,0.0,25.9,0.4148
2022-07-20,123.63157894736842,28.8,25.1,81.2,0.0,20.5,0.6662
2022-07-21,112.76190476190476,28.3,24.1,79.2,0.0,16.8,0.6832
2022-07-22,96.15,28.2,24.6,81.3,0.2,29.5,0.782
2022-07-23,49.25,28.5,24.5,79.9,0.29,18.4,1.0486
2022-07-24,89.3157894736842,28.4,24.1,78.4,1.396,18.4,1.198
2022-07-25,85.57142857142857,28.1,24.1,80.0,2.212,18.4,0.5302
2022-07-26,105.7,28.3,23.2,74.9,0.0,24.1,0.7466
2022-07-27,114.85714285714286,28.3,23.0,73.8,0.0,16.6,0.599
2022-07-28,134.0,28.9,23.9,75.6,0.0,27.7,0.44419998
2022-07-29,120.42857142857144,29.0,24.6,77.7,1.784,27.7,0.3136
2022-07-30,72.85,28.3,24.6,81.1,0.0,22.3,0.98219997
2022-07-31,71.27777777777777,28.6,24.5,79.4,0.0,27.7,0.6956
2022-08-01,111.57894736842104,28.7,24.3,78.4,0.0,25.9,0.19119999
2022-08-02,113.77777777777776,28.8,24.3,77.4,0.0,18.4,0.611
2022-08-03,135.85,28.7,24.8,80.5,4.78,20.5,0.5116
2022-08-04,105.4,27.5,24.8,86.0,16.015,19.6,0.4122
2022-08-05,83.19047619047619,27.3,24.8,86.3,10.907,19.0,0.7734
2022-08-06,96.47368421052632,27.8,23.6,79.7,4.38,19.2,0.46879998
2022-08-07,119.25,27.7,23.9,80.7,3.051,16.6,0.37199998
2022-08-08,84.75,28.1,23.4,76.8,0.0,18.4,0.1652
2022-08-09,84.16666666666667,28.5,23.4,75.0,2.593,14.8,0.366
2022-08-10,70.36363636363636,28.7,23.1,73.9,0.032,22.3,0.40379998
2022-08-11,107.8095238095238,29.1,23.8,74.7,0.242,19.5,0.45679998
2022-08-12,97.56521739130434,28.8,23.4,73.4,2.357,18.4,0.71599996
2022-08-13,78.92307692307692,28.2,23.4,76.5,0.318,25.9,0.78099996
2022-08-14,86.10526315789474,28.4,23.4,74.9,2.801,27.7,0.13419999
2022-08-15,86.55555555555556,28.5,23.1,73.8,1.344,18.4,0.26659998
2022-08-16,70.0952380952381,28.1,23.6,77.5,0.597,14.8,0.46579996999999995
2022-08-17,72.92857142857143,28.2,23.7,77.3,4.502,27.7,0.66499996
2022-08-18,89.5,28.9,22.1,68.2,0.0,33.5,0.2724
2022-08-19,101.84210526315788,29.3,22.0,66.4,0.0,31.0,0.262
2022-08-20,107.33333333333331,29.0,23.0,70.9,0.043,31.7,0.99859995
2022-08-21,100.1818181818182,28.4,22.9,73.0,7.664,20.5,0.76699996
2022-08-22,79.84210526315789,27.2,23.5,80.8,0.0,18.3,0.28579998
2022-08-23,90.42105263157896,29.1,23.1,72.3,0.0,18.4,0.259
2022-08-24,117.45,29.0,23.2,72.1,0.464,22.3,0.3266
2022-08-25,101.4,29.0,21.8,66.6,0.054,25.9,0.29839998
2022-08-26,116.77777777777776,28.6,21.9,68.0,0.026,14.4,0.1314
2022-08-27,102.23076923076924,27.9,23.6,77.8,2.433,18.4,0.1574
2022-08-28,47.285714285714285,27.2,23.9,82.4,1.285,20.5,0.6146
2022-08-29,82.2,27.9,23.9,79.5,1.07,16.6,0.2898
2022-08-30,83.6470588235294,28.7,22.8,72.0,0.0,18.2,0.4552
2022-08-31,92.52941176470588,28.6,22.9,72.9,0.199,14.8,0.687
2022-09-01,101.41176470588236,28.8,23.7,75.0,2.447,33.5,0.2562
2022-09-02,110.29411764705884,28.1,23.6,78.2,1.854,18.4,0.0196
2022-09-03,70.0,27.6,23.0,76.9,0.423,29.5,0.4982
2022-09-04,0.0,28.0,23.0,75.2,0.731,29.5,0.398
2022-09-05,86.44444444444444,29.1,23.5,73.6,0.208,22.3,0.667
2022-09-06,88.76470588235294,29.0,23.9,75.7,7.92,27.7,0.588
2022-09-07,81.42105263157895,27.0,24.4,86.6,12.652,24.1,0.26319999
2022-09-08,84.88888888888889,25.8,24.2,90.7,7.4,13.0,0.400599995
2022-09-09,90.52631578947368,26.3,23.5,85.6,41.103,18.4,0.538
2022-09-10,89.11973684210527,26.0,23.8,88.0,7.332,24.1,0.5076
2022-09-11,87.71315789473684,27.4,23.8,81.5,13.279,20.5,0.0958
2022-09-12,86.30657894736842,27.1,23.6,82.0,1.696,13.0,0.3116
2022-09-13,84.9,27.9,23.6,78.1,0.265,16.6,0.6476
2022-09-14,106.76190476190476,28.2,22.3,71.9,0.005,18.3,0.48999998
2022-09-15,118.94117647058825,28.7,22.5,70.8,0.0,13.0,0.21319999
2022-09-16,110.87967914438502,28.0,23.3,76.6,2.518,16.6,0.35079998
2022-09-17,102.8181818181818,28.5,23.9,76.8,0.0,22.3,0.464
2022-09-18,0.0,28.1,24.5,81.4,0.571,12.8,0.5528
2022-09-19,57.2,28.2,23.6,77.4,3.25,18.4,0.3728
2022-09-20,112.25,28.3,22.4,71.9,0.0,14.8,1.2486
2022-09-21,112.95238095238096,28.1,23.8,78.3,5.211,17.6,0.9456
2022-09-22,86.42105263157895,27.5,24.1,82.3,15.142,22.3,0.519
2022-09-23,91.36842105263158,28.0,23.8,79.5,5.361,21.9,0.39490000000000003
2022-09-24,96.47080592105263,28.4,24.1,78.3,0.0,24.1,0.2708
2022-09-25,101.57319078947368,28.5,24.2,78.2,0.0,20.5,0.4098
2022-09-26,106.67557565789474,28.9,22.9,72.4,8.764,18.4,0.2112
2022-09-27,111.77796052631578,28.9,22.9,71.5,0.011,18.4,0.1576
2022-09-28,116.88034539473685,29.0,23.4,73.6,0.026,16.6,0.45679998
2022-09-29,121.98273026315789,29.0,23.1,71.9,0.163,21.9,1.1474
2022-09-30,127.08511513157895,28.4,23.4,75.4,0.0,27.7,0.4664
